miasto;Ulica;Nr domu;Kod poczt.;miasto;Publicznoœæ;Uczniowie;odzialy;pelnozatrudnieni;stos. Pracy;w etatach;suma etatów
Poznañ;Janickiego;22;60-542;Poznañ;001;54;6.00;10;11;5.68;15.68
Poznañ;D¹browskiego;73;60-523;Poznañ;001;36;4.99;7;12;4.98;11.98
Poznañ;Obornicka;314;60-691;Poznañ;001;30;10.00;20;17;8.45;28.45
Poznañ;Borówki;10;61-304;Poznañ;002;86;7.00;9;6;1.80;10.80
Poznañ;Hipolita Cegielskiego;1;61-862;Poznañ;002;134;7.00;4;23;9.19;13.19
Poznañ;Piwna;1;61-065;Poznañ;002;311;15.00;17;24;14.79;31.79
Poznañ;Drzyma³y;4/6;60-613;Poznañ;002;124;11.00;15;5;2.51;17.51
Poznañ;Koœcierzyñska;76/78;60-446;Poznañ;002;242;17.00;0;24;8.14;8.14
Poznañ;Staro³êcka;138;61-341;Poznañ;002;9;4.00;1;17;3.67;4.67
Poznañ;Al. Niepodleg³oœci;36;61-714;Poznañ;002;203;16.00;4;30;16.37;20.37
Poznañ;os. Jana III Sobieskiego;109;60-688;Poznañ;002;25;6.00;1;18;8.89;9.89
Poznañ;Winogrady;139;61-626;Poznañ;002;1;1.00;1;0;0.00;1.00
Poznañ;Prze³ajowa;5;61-622;Poznañ;002;34;8.00;18;0;0.00;18.00
Poznañ;STRZA£KOWSKIEGO;5/7;60-854;POZNAÑ;002;370;24.00;14;20;8.96;22.96
Poznañ;Darzyborska;1a;61-303;Poznañ;002;51;7.00;8;11;5.34;13.34
Poznañ;Kossaka;3;60-759;Poznañ;002;154;5.00;0;11;2.48;2.48
Poznañ;Œciegiennego;10;60-128;Poznañ;002;137;4.00;0;11;4.29;4.29
Poznañ;œw. Micha³a;50 M;61-118;Poznañ;002;512;28.00;55;14;11.96;66.96
Poznañ;Œwierzawska;18;60-321;Poznañ;002;77;6.00;10;13;4.11;14.11
Poznañ;Druskienicka;6;60-476;Poznañ;002;75;10.00;7;12;4.75;11.75
Poznañ;Winogrady;144;61-626;Poznañ;002;20;7.00;22;6;3.77;25.77
Poznañ;Os. Wichrowe Wzgórze;114;61-670;Poznañ;002;409;25.00;51;9;4.71;55.71
Poznañ;Grabowa;33;61-473;Poznañ;002;339;19.00;30;18;13.14;43.14
Poznañ;os. Oœwiecenia;64;61-209;Poznañ;002;326;20.00;38;8;5.07;43.07
Poznañ;£ozowa;77;61-448;Poznañ;002;85;8.00;8;19;9.93;17.93
Poznañ;Golêciñska;9;60-626;Poznañ;002;414;26.00;28;44;18.97;46.97
Poznañ;Szczepankowo;131;60-840;Poznañ;002;64;7.00;10;8;3.18;13.18
Poznañ;G³ogowska;147;60-206;Poznañ;002;81;6.00;3;26;10.50;13.50
Poznañ;PI¥TKOWSKA;148;60-650;POZNAÑ;002;24;4.00;3;11;4.44;7.44
Poznañ;Mariacka;24/28;61-012;Poznañ;002;6;1.00;2;1;0.78;2.78
Poznañ;Taczanowskiego;18;60-147;Poznañ;002;437;24.00;38;23;13.44;51.44
Poznañ;Szamotulska;33;60-365;Poznañ;002;12;1.00;0;13;1.15;1.15
Poznañ;Œciegiennego;10;60-128;Poznañ;002;21;6.00;2;1;0.13;2.13
Poznañ;£ozowa;77;61-488;Poznañ;002;20;4.00;8;1;0.15;8.15
Poznañ;Filipiñska;4;61-123;Poznañ;001;31;2.00;0;13;2.33;2.33
Poznañ;£ozowa;53;61-448;Poznañ;001;162;7.00;17;15;4.89;21.89
Poznañ;Œciegiennego;134;60-304;Poznañ;001;0;0.00;0;0;0.00;0.00
Poznañ;Miñska;32;61-049;Poznañ;001;39;2.00;0;20;4.09;4.09
Poznañ;Hipolita Cegielskiego;1;61-862;Poznañ;002;42;2.00;0;21;6.05;6.05
Poznañ;Drzyma³y;4/6;60-613;Poznañ;002;24;2.00;3;10;3.91;6.91
Poznañ;gen. T. Kutrzeby;10;61-719;Poznañ;002;106;6.00;2;29;12.31;14.31
Poznañ;os. Lecha;37;61-294;Poznañ;002;87;4.00;1;10;4.78;5.78
Poznañ;Koœcierzyñska;76/78;60-446;Poznañ;002;20;4.00;0;21;2.16;2.16
Poznañ;Staro³êcka;138;61-341;Poznañ;002;7;2.00;0;18;3.31;3.31
Poznañ;al. Niepodleg³oœci;36;61-714;Poznañ;002;33;2.00;0;17;3.26;3.26
Poznañ;os. Jana III Sobieskiego;109;60-688;Poznañ;002;10;2.00;0;14;4.19;4.19
Poznañ;Piwna;1;61-065;Poznañ;002;69;4.00;4;16;6.71;10.71
Poznañ;œw. Micha³a;50 M;61-118;Poznañ;002;65;4.00;2;19;6.43;8.43
Poznañ;Strza³kowskiego;5/7;61-854;Poznañ;002;33;2.00;0;15;4.60;4.60
Poznañ;Druskienicka;6;60-476;Poznañ;002;17;1.00;0;10;3.09;3.09
Poznañ;Grabowa;33;61-473;Poznañ;002;68;4.00;2;22;8.10;10.10
Poznañ;Winogrady;144;61-626;Poznañ;002;0;0.00;0;0;0.00;0.00
Poznañ;Os. Oœwiecenia;64;61-209;Poznañ;002;57;3.00;1;13;2.54;3.54
Poznañ;£ozowa;77;61-448;Poznañ;002;17;2.00;0;15;3.36;3.36
Poznañ;Œciegiennego;134;60-304;Poznañ;001;0;0.00;0;0;0.00;0.00
Poznañ;Strzelecka;10;61-845;Poznañ;001;554;18.00;37;11;6.16;43.16
Poznañ;Swojska;6;60-592;Poznañ;001;613;21.00;42;10;5.99;47.99
Poznañ;Warzywna;24;61-658;Poznañ;001;541;18.00;39;12;7.76;46.76
Poznañ;os. Tysi¹clecia;43;61-255;Poznañ;001;601;29.00;76;27;15.96;91.96
Poznañ;Garbary;24;61-867;Poznañ;001;542;19.00;33;29;10.68;43.68
Poznañ;Strza³kowskiego;5/7;61-854;Poznañ;001;133;6.00;3;21;11.67;14.67
Poznañ;Œciegiennego;134;60-304;Poznañ;001;174;3.00;2;8;1.31;3.31
Poznañ;G³ogowska;92;60-262;Poznañ;001;175;6.00;5;26;13.46;18.46
Poznañ;Zmartwychwstañców;10;61-501;Poznañ;001;738;24.00;49;12;5.64;54.64
Poznañ;¯eromskiego;8/12;60-544;Poznañ;001;579;19.00;40;20;12.12;52.12
Poznañ;Hipolita Cegielskiego;1;61-862;Poznañ;001;653;21.00;39;22;13.95;52.95
Poznañ;Œciegiennego;134;60-304;Poznañ;001;548;18.00;40;14;8.97;48.97
Poznañ;Kutrzeby;8;61-719;Poznañ;001;468;16.00;29;18;8.23;37.23
Poznañ;os. Piastowskie;106;61-164;Poznañ;001;258;10.00;22;17;5.56;27.56
Poznañ;OS. BOLES£AWA CHROBREGO;107;60-681;POZNAÑ;001;432;18.00;38;9;5.88;43.88
Poznañ;Osiedle Wichrowe Wzgórze;111;61-699;Poznañ;001;507;20.00;44;29;15.08;59.08
Poznañ;Widna;1;60-655;Poznañ;001;301;11.00;22;23;10.05;32.05
Poznañ;Klaudyny Potockiej;38;60-211;Poznañ;001;118;8.00;10;19;8.98;18.98
Poznañ;Ma³oszyñska;38;60-176;Poznañ;001;352;11.00;31;16;7.68;38.68
Poznañ;Pó³wiejska;9/6;61-885;Poznañ;002;109;6.00;0;3;0.99;0.99
Poznañ;Staro³êcka;138;61-341;POZNAÑ;002;3;1.00;0;15;3.52;3.52
Poznañ;Staro³êcka;138;61-341;Poznañ;002;10;3.00;1;14;2.88;3.88
Poznañ;gen. T. Kutrzeby;10;61-719;Poznañ;002;48;5.00;1;21;6.55;7.55
Poznañ;Szamotulska;33;60-365;Poznañ;002;80;6.00;0;10;3.05;3.05
Poznañ;Pó³wiejska;30;61-888;Poznañ;002;109;6.00;0;10;0.51;0.51
Poznañ;Bu³garska;55;60-320;Poznañ;002;70;3.00;0;10;2.20;2.20
Poznañ;os. PrzyjaŸni;136;61-685;Poznañ;002;207;8.00;0;12;3.56;3.56
Poznañ;Bosa;9;60-125;Poznañ;002;48;3.00;1;9;1.49;2.49
Poznañ;Podgórna 3;1;61-829;Poznañ;002;57;4.00;0;8;0.75;0.75
Poznañ;Os. Rusa;56;61-245;Poznañ;002;168;7.00;2;9;1.73;3.73
Poznañ;Taczanowskiego;18;60-147;Poznañ;002;125;7.00;4;18;9.42;13.42
Poznañ;G³ogowska;147;60-206;Poznañ;002;44;3.00;4;22;7.83;11.83
Poznañ;al. Niepodleg³oœci;43;61-714;Poznañ;002;106;4.00;2;40;17.45;19.45
Poznañ;Szamotulska;33;60-365;Poznañ;002;27;1.00;0;15;1.70;1.70
Poznañ;os. Lecha;37;61-294;Poznañ;002;130;6.00;1;10;5.68;6.68
Poznañ;Prze³ajowa;5;61-622;Poznañ;002;2;1.00;12;0;0.00;12.00
Poznañ;Pó³wiejska;20/7a;61-888;Poznañ;002;89;4.00;2;4;1.61;3.61
Poznañ;Pó³wiejska;23/6;61-885;Poznañ;002;133;7.00;0;13;3.40;3.40
Poznañ;Kossaka;3;60-759;Poznañ;002;504;9.00;0;17;4.74;4.74
Poznañ;Œciegiennego;10;60-128;Poznañ;002;309;9.00;0;21;8.91;8.91
Poznañ;œw. Jerzego;6/10;60-546;Poznañ;002;101;3.00;0;12;3.18;3.18
Poznañ;os. Jagielloñskie;128;61-223;Poznañ;002;96;3.00;0;5;1.06;1.06
Poznañ;S³owackiego;58/60;60-521;Poznañ;002;107;5.00;1;21;7.72;8.72
Poznañ;os. Tysi¹clecia;43;61-255;Poznañ;002;306;6.00;0;8;2.58;2.58
Poznañ;Os. Kosmonautów;111;61-642;Poznañ;002;179;5.00;0;7;1.79;1.79
Poznañ;Pó³wiejska;25/2;61-889;Poznañ;002;216;5.00;0;9;2.50;2.50
Poznañ;27 Grudnia;7;61-737;Poznañ;002;662;13.00;0;14;5.69;5.69
Poznañ;D¹browskiego;163;60-594;Poznañ;001;284;11.00;31;16;7.93;38.93
Poznañ;Golêciñska;9;60-626;Poznañ;001;468;18.00;37;8;4.35;41.35
Poznañ;ul. 28 Czerwca 1956 r.;352/360;61-441;Poznañ;001;505;20.00;42;22;11.02;53.02
Poznañ;Rynek Je¿ycki;1;60-847;Poznañ;002;197;12.00;9;20;9.97;18.97
Poznañ;Strza³kowskiego;5/7;60-854;Poznañ;001;22;3.00;0;7;1.58;1.58
Poznañ;Czechos³owacka;27;61-459;Poznañ;001;177;8.00;48;0;0.00;48.00
Poznañ;Orzeszkowej;1;60-778;Poznañ;002;146;8.00;0;26;8.95;8.95
Poznañ;Pó³wiejska;9/6;61-885;Poznañ;002;84;3.00;0;3;1.06;1.06
Poznañ;Pó³wiejska;9/6;61-885;Poznañ;002;363;14.00;0;3;0.99;0.99
Poznañ;Pó³wiejska;25/2;61-889;Poznañ;002;636;13.00;0;14;5.92;5.92
Poznañ;GAJOWA;8/1;61-815;POZNAÑ;002;48;3.00;3;0;0.00;3.00
Poznañ;Pó³wiejska;20/7a;61-888;Poznañ;002;27;1.00;0;4;1.61;1.61
Poznañ;Pó³wiejska;20/7a;61-888;Poznañ;002;242;16.00;0;17;9.45;9.45
Poznañ;Pó³wiejska;23/6;61-885;Poznañ;002;311;13.00;1;27;7.14;8.14
Poznañ;Pó³wiejska;23/6;61-885;Poznañ;002;483;27.00;2;35;10.59;12.59
Poznañ;Elizy Orzeszkowej;1;60-778;Poznañ;002;0;0.00;0;0;0.00;0.00
Poznañ;27 Grudnia;7;61-737;POZNAÑ;002;1 332;36.00;0;40;18.89;18.89
Poznañ;Podgórna 3;1;61-829;Poznañ;002;400;13.00;0;23;2.94;2.94
Poznañ;Pó³wiejska;25/2;61-889;Poznañ;002;131;4.00;0;8;2.22;2.22
Poznañ;Bydgoska;4a;61-127;Poznañ;002;27;2.00;0;3;1.00;1.00
Poznañ;Pó³wiejska;25/2;61-889;Poznañ;002;153;4.00;0;7;2.27;2.27
Poznañ;Rynek Je¿ycki;1;60-847;Poznañ;002;351;22.00;1;21;12.61;13.61
Poznañ;Szamotulska;33;60-365;Poznañ;002;203;15.00;0;12;3.66;3.66
Poznañ;Bosa;9;60-125;Poznañ;002;0;0.00;0;0;0.00;0.00
Poznañ;Piotra Œciegiennego;134;60-304;Poznañ;002;15;1.00;0;5;1.45;1.45
Poznañ;Bosa;9;60-125;Poznañ;002;30;2.00;1;7;1.65;2.65
Poznañ;BrzeŸnicka;3;60-133;Poznañ;002;50;2.00;1;10;2.71;3.71
Poznañ;BrzeŸnicka;3;60-133;Poznañ;002;138;6.00;0;14;3.80;3.80
Poznañ;Paw³owskiego;6;60-681;Poznañ;002;6;1.00;1;7;0.12;1.12
Poznañ;Bu³garska;55;60-320;Poznañ;002;3;1.00;0;6;1.32;1.32
Poznañ;Bu³garska;55;60-320;Poznañ;002;9;2.00;0;7;1.54;1.54
Poznañ;Bu³garska;55;60-320;Poznañ;002;6;1.00;0;6;1.32;1.32
Poznañ;Bu³garska;55;60-320;Poznañ;002;16;2.00;0;8;1.76;1.76
Poznañ;Zeylanda;1;60-808;Poznañ;002;88;4.00;0;5;2.41;2.41
Poznañ;Œciegiennego;10;60-128;Poznañ;002;26;2.00;0;8;2.88;2.88
Poznañ;os. Tysi¹clecia;43;61-255;Poznañ;002;68;3.00;0;3;1.24;1.24
Poznañ;os. Jagielloñskie;128;61-223;Poznañ;002;79;2.00;0;3;0.89;0.89
Poznañ;Osiedle Kosmonautów;111;61-642;Poznañ;002;105;4.00;0;4;1.41;1.41
Poznañ;Kossaka;3;60-759;Poznañ;002;118;4.00;0;6;1.97;1.97
Poznañ;WoŸna 9/4;47;61-777;Poznañ;002;85;5.00;0;4;0.51;0.51
Poznañ;Rynek Je¿ycki;1;60-847;Poznañ;002;326;18.00;7;42;19.09;26.09
Poznañ;ŒW.MARCIN;66/72;61-807;POZNAÑ-STARE MIASTO;002;67;3.00;1;2;0.33;1.33
Poznañ;ŒW,MARCIN;66/72;61-807;Poznañ;002;0;0.00;0;0;0.00;0.00
Poznañ;Hangarowa;14;60-409;Poznañ;002;39;3.00;0;3;0.72;0.72
Poznañ;Pó³wiejska;30;61-888;Poznañ;002;372;17.00;0;24;1.20;1.20
Poznañ;ŒW.MARCIN;66/72;61-807;POZNAÑ-STARE MIASTO;002;164;7.00;0;3;1.01;1.01
Poznañ;Os. Rusa;56;61-245;Poznañ;002;485;14.00;3;6;2.69;5.69
Poznañ;Bu³garska;55;60-320;Poznañ;002;25;6.00;0;10;2.20;2.20
Poznañ;Warzywna;24;61-658;POZNAÑ;002;212;14.00;9;0;0.00;9.00
Poznañ;28 Czerwca;231/239;61-485;Poznañ;002;308;13.00;6;18;9.34;15.34
Poznañ;28 Czerwca 1956 r.;231/239;61-485;Poznañ;002;169;5.00;1;11;3.26;4.26
Poznañ;Warzywna;24;61-658;Poznañ;002;54;3.00;3;0;0.00;3.00
Poznañ;PÓ£WIEJSKA;9/6;61-885;POZNAÑ;003;0;0.00;0;0;0.00;0.00
Poznañ;Pó³wiejska;9/6;61-885;Poznañ;003;0;0.00;0;0;0.00;0.00
Poznañ;Pó³wiejska;25/2;61-889;Poznañ;003;199;18.00;0;9;2.17;2.17
Poznañ;Rynek Je¿ycki;1;60-847;Poznañ;003;14;1.00;0;8;2.11;2.11
Poznañ;Pó³wiejska;23/6;61-885;Poznañ;003;91;8.00;0;16;4.88;4.88
Poznañ;Pó³wiejska;30;61-888;Poznañ;003;306;24.00;0;12;0.16;0.16
Poznañ;ŒW.MARCIN 66/72;9/10;61-807;Poznañ;003;47;2.00;0;6;0.73;0.73
Poznañ;FILIPIÑSKA;4;61-123;Poznañ;001;164;7.00;22;42;19.96;41.96
Poznañ;Solna;12;61-736;Poznañ;001;336;14.00;55;44;23.37;78.37
Poznañ;Bydgoska;4;61-127;Poznañ;001;183;8.00;26;36;18.53;44.53
Poznañ;Druskiennicka;32;60-476;Poznañ;002;75;0.00;1;10;5.17;6.17
Poznañ;Solna;12;61-736;Poznañ;001;296;12.00;50;93;50.44;100.44
Poznañ;Junikowska;35;60-163;Poznañ;001;207;8.00;24;21;11.55;35.55
Poznañ;Go³êbia;8;61-834;Poznañ;001;202;12.00;27;42;18.28;45.28
Poznañ;Mansfelda;4;60-854;Poznañ;003;121;0.00;3;6;2.66;5.66
Poznañ;Droga Dêbiñska;21;61-555;Poznañ;001;0;0.00;11;15;8.21;19.21
Poznañ;ul.Za Cytadel¹;121;61-663;Poznañ;001;0;0.00;12;17;9.33;21.33
Poznañ;Jarochowskiego;1;60-235;Poznañ 34;001;0;0.00;6;13;6.71;12.71
Poznañ;Przybyszewskiego;30A;60-357;Poznañ;001;0;0.00;3;5;0.94;3.94
Poznañ;Biskupiñska;27;60-463;Poznañ;004;0;0.00;1;0;0.00;1.00
Poznañ;Micha³a Drzyma³y;3;60-613;Poznañ;004;0;0.00;0;1;0.20;0.20
Poznañ;Tomickiego;16;61-116;Poznañ;004;0;0.00;0;0;0.00;0.00
Poznañ;Pó³wiejska;25/2;61-889;Poznañ;004;0;0.00;0;0;0.00;0.00
Poznañ;Nowowiejskiego;29;61-733;Poznañ;001;0;0.00;11;8;4.00;15.00
Poznañ;Os. RUSA;56/D1;61-245;POZNAÑ;001;0;0.00;8;1;0.75;8.75
Poznañ;Œw. Antoniego;42;61-359;Poznañ;001;0;0.00;10;7;3.50;13.50
Poznañ;Sierakowska;23;60-367;Poznañ;001;0;0.00;15;8;4.00;19.00
Poznañ;os. Boles³awa Chrobrego;105;60-681;Poznañ;001;0;0.00;6;5;2.75;8.75
Poznañ;Oliwska;14;60-454;Poznañ;004;0;0.00;1;11;3.18;4.18
Poznañ;Frezjowa;22;60-175;Polska;004;0;0.00;1;13;5.75;6.75
Poznañ;Golêciñska;9;60-626;Poznañ;004;0;0.00;0;2;0.75;0.75
Poznañ;Pi¹tkowska;41A/5;60-648;Poznañ;004;0;0.00;0;2;0.50;0.50
Poznañ;Jarochowskiego;44;60-239;Poznañ;004;0;0.00;1;1;0.13;1.13
Poznañ;Al. Niepodleg³oœci;36;61-714;Poznañ;004;0;0.00;1;11;2.75;3.75
Poznañ;Promienista;6;60-288;Poznañ;004;0;0.00;0;3;0.99;0.99
Poznañ;Bosa;15;60-125;Poznañ;004;0;0.00;0;1;0.20;0.20
Poznañ;Plac Kolegiacki;12a;61-841;Poznañ;004;0;0.00;1;0;0.00;1.00
Poznañ;Os. £okietka;4H;61-616;Poznañ;004;0;0.00;0;1;0.07;0.07
Poznañ;Radojewo;28;61-680;Poznañ;004;0;0.00;5;0;0.00;5.00
Poznañ;Mariacka;24/28;61-012;Poznañ;004;63;0.00;13;3;1.28;14.28
Poznañ;Szamarzewskiego;78/82;60-569;Poznañ;001;47;0.00;90;23;12.01;102.01
Poznañ;Szamarzewskiego;78/82;60-569;Poznañ;001;17;7.00;0;0;0.00;0.00
Poznañ;Szamarzewskiego;78/82;60-569;Poznañ;001;44;6.00;0;0;0.00;0.00
Poznañ;P³owiecka;5;60-277;Poznañ;001;14;14.00;0;0;0.00;0.00
Poznañ;Szamarzewskiego;78/82;60-569;Poznañ;001;22;12.00;0;0;0.00;0.00
Poznañ;Szamarzewskiego;78/82;60-569;Poznañ;001;34;5.00;0;0;0.00;0.00
Poznañ;Szamarzewskiego;78/82;60-569;Poznañ;001;11;4.00;0;0;0.00;0.00
Poznañ;Bydgoska;4a;61-127;Poznañ;001;44;0.00;100;4;2.34;102.34
Poznañ;Bydgoska;4a;61-127;Poznañ;001;12;2.00;0;0;0.00;0.00
Poznañ;Bydgoska;4a;61-127;Poznañ;001;0;0.00;0;0;0.00;0.00
Poznañ;Bydgoska;4a;61-127;Poznañ;001;12;3.00;0;0;0.00;0.00
Poznañ;Bydgoska;4a;61-127;Poznañ;001;82;16.00;0;0;0.00;0.00
Poznañ;Bydgoska;4a;61-127;Poznañ;001;0;0.00;0;0;0.00;0.00
Poznañ;Bydgoska;4a;61-127;Poznañ;001;23;4.00;0;0;0.00;0.00
Poznañ;BOSA;15;60-125;POZNAÑ;004;80;0.00;8;0;0.00;8.00
Poznañ;Pilicka;5;60-401;Poznañ;004;0;0.00;1;0;0.00;1.00
Poznañ;Œw.Rocha;16a;61-142;Poznañ;004;0;0.00;7;0;0.00;7.00
Poznañ;Krakowska;17;61-889;Poznañ;001;0;0.00;11;1;0.50;11.50
Poznañ;Stanis³awa Hejmowskiego;1;61-736;Poznañ;001;0;0.00;14;6;3.10;17.10
Poznañ;ul. Górecka;1;60-201;Poznañ;001;0;0.00;18;4;1.70;19.70
Poznañ;Jeleniogórska;4/6;60-179;Ponzañ;004;0;0.00;0;0;0.00;0.00
Poznañ;ŒW. MARCIN;59;61-806;POZNAÑ;004;0;0.00;0;0;0.00;0.00
Poznañ;Kochanowskiego;22/6;60-846;Poznañ;004;0;0.00;0;3;1.00;1.00
Poznañ;Tomickiego;16;61-116;Poznañ;004;0;0.00;0;0;0.00;0.00
Poznañ;Os. Wichrowe Wzgórze;119;61-699;Poznañ;004;0;0.00;0;0;0.00;0.00
Poznañ;Obornicka;274;60-693;Poznañ;004;0;0.00;0;0;0.00;0.00
Poznañ;ul. Bu³garska;19;60-320;Poznañ;001;0;0.00;41;2;1.00;42.00
Poznañ;Podbia³owa;11;61-680;Poznañ;004;0;0.00;5;0;0.00;5.00
Poznañ;BliŸniat;12a/9;61-224;Poznañ;004;0;0.00;0;1;0.20;0.20
Poznañ;Mo³dawska;22;61-614;Poznañ;003;116;0.00;4;4;1.17;5.17
Poznañ;os. Stefana Batorego;101;60-687;Poznañ;001;0;0.00;0;1;0.01;0.01
Poznañ;Pó³wiejska;30;61-888;Poznañ;001;0;0.00;0;2;0.02;0.02
Poznañ;Zeylanda;1;60-808;Poznañ;001;0;0.00;0;2;0.86;0.86
Poznañ;Pó³wiejska;9/6;61-885;Poznañ;004;0;0.00;0;0;0.00;0.00
Poznañ;Miel¿yñskiego;20;61-725;Poznañ;004;0;0.00;0;0;0.00;0.00
Poznañ;Taczaka;10;61-818;Poznañ;004;0;0.00;0;39;26.13;26.13
Poznañ;Œwiêtego Marcina;66/72;60-766;Poznañ;004;0;0.00;5;0;0.00;5.00
Poznañ;Pó³wiejska;20/7a;61-888;Poznan;004;0;0.00;2;0;0.00;2.00
Poznañ;Wieniawskiego;5/6;61-712;Poznañ;004;0;0.00;0;0;0.00;0.00
Poznañ;WARSZAWSKA;39/41;61-028;POZNAÑ;004;0;0.00;0;4;0.53;0.53
Poznañ;Obornicka;274;60-693;Poznañ;004;0;0.00;0;0;0.00;0.00
Poznañ;Obornicka;274;60-693;Poznañ;004;0;0.00;0;0;0.00;0.00
Poznañ;MAJAKOWSKIEGO 309A;24;61-066;POZNAÑ;004;0;0.00;0;1;0.38;0.38
Poznañ;Pó³wiejska;23/6;61-885;Poznañ;004;0;0.00;0;5;2.22;2.22
Poznañ;Rynek Je¿ycki;1;60-847;Poznañ;004;0;0.00;0;6;1.89;1.89
Poznañ;Wawrzyniaka;37;60-504;Poznañ;004;0;0.00;0;0;0.00;0.00
Poznañ;Listopadowa;22;60-153;Poznañ;004;14;1.00;1;0;0.00;1.00
Poznañ;Bogusza;81;61-608;Poznañ;004;51;7.00;20;0;0.00;20.00
Poznañ;Kaliska;13;61-131;Poznañ;004;6;1.00;1;1;0.75;1.75
Poznañ;Naramowicka;264a/1;61-601;Poznañ;004;5;2.00;1;0;0.00;1.00
Poznañ;Oliwska;14;60-454;Poznañ;004;10;1.00;4;4;2.00;6.00
Poznañ;Frezjowa;22;60-175;Polska;004;66;3.00;14;4;1.73;15.73
Poznañ;Naramowicka;264a/1;61-601;Poznañ;004;5;1.00;1;0;0.00;1.00
Poznañ;Knapowskiego;23;60-126;Poznañ;004;4;1.00;0;1;0.48;0.48
Poznañ;D¹browskiego;25/2b;60-840;Poznañ;004;23;1.00;1;0;0.00;1.00
Poznañ;Wiankowa;1;61-049;Poznañ;004;7;1.00;2;0;0.00;2.00
Poznañ;Gromadzka;12;61-655;Poznañ;004;11;1.00;2;0;0.00;2.00
Poznañ;Os. Wichrowe Wzgórze;119;61-699;Poznañ;004;22;1.00;3;0;0.00;3.00
Poznañ;Staro³êcka;129;61-341;Poznañ;004;25;2.00;4;0;0.00;4.00
Poznañ;Przemys³owa;68;61-541;Poznañ;004;42;9.00;28;1;0.50;28.50
Poznañ;Cegielskiego;1;61-862;Poznañ;001;192;9.00;31;43;17.88;48.88
Poznañ;D¹browskiego;163;61-777;Poznañ;003;0;0.00;0;0;0.00;0.00
Poznañ;ul. 27 Grudnia;3;61-737;Poznañ;003;25;2.00;0;12;0.42;0.42
Poznañ;;;60-236;Poznañ;003;59;5.00;0;9;1.63;1.63
Poznañ;Taczaka;10;61-818;Poznañ;003;45;2.00;0;12;8.04;8.04
Poznañ;œw. Jerzego;6/10;61-546;Poznañ;001;184;14.00;23;13;6.31;29.31
Poznañ;Jawornicka;1;60-161;Poznañ;001;0;0.00;33;14;6.49;39.49
Poznañ;Jawornicka;1;60-161;Poznañ;001;0;0.00;0;0;0.00;0.00
Poznañ;GRUNWALDZKA;200;60-166;POZNAÑ;001;0;0.00;0;0;0.00;0.00
Poznañ;Jawornicka;1;60-161;Poznañ;001;0;0.00;0;0;0.00;0.00
Poznañ;Jawornicka;1;60-161;Poznañ;001;0;0.00;0;0;0.00;0.00
Poznañ;Jawornicka;1;60-161;Poznañ;001;0;0.00;0;0;0.00;0.00
Poznañ;Jawornicka;1;60-161;Poznañ;001;0;0.00;0;0;0.00;0.00
Poznañ;Jawornicka;1;60-161;Poznañ;001;0;0.00;0;0;0.00;0.00
Poznañ;Jawornicka;1;60-161;Poznañ;001;320;13.00;0;0;0.00;0.00
Poznañ;SZAMARZEWSKIEGO;99;60-568;POZNAÑ;001;0;0.00;20;55;18.21;38.21
Poznañ;Szamarzewskiego;99;60-568;Poznañ;001;0;0.00;0;0;0.00;0.00
Poznañ;SZAMARZEWSKIEGO;99;60-568;POZNAÑ;001;177;11.00;0;0;0.00;0.00
Poznañ;SZAMARZEWSKIEGO;99;60-568;POZNAÑ;001;87;6.00;0;0;0.00;0.00
Poznañ;Mostowa;6;61-855;Poznañ;001;0;0.00;24;22;8.33;32.33
Poznañ;Mostowa;6;61-855;Poznañ;001;0;0.00;0;0;0.00;0.00
Poznañ;Mostowa;6;61-855;Poznañ;001;51;3.00;0;0;0.00;0.00
Poznañ;Mostowa;6;61-855;Poznañ;001;68;4.00;0;0;0.00;0.00
Poznañ;Mostowa;6;61-855;Poznañ;001;96;4.00;0;0;0.00;0.00
Poznañ;Wagrowska;9;61-369;Poznañ;001;0;0.00;18;15;12.91;30.91
Poznañ;Wagrowska;9;61-369;Poznañ;001;2;2.00;0;0;0.00;0.00
Poznañ;Wagrowska;9;61-369;Poznañ;001;4;2.00;0;0;0.00;0.00
Poznañ;S£OWACKIEGO;54/56;60-521;POZNAÑ;001;0;0.00;24;3;1.50;25.50
Poznañ;S£OWACKIEGO;54/56;60-521;POZNAÑ;001;0;0.00;0;0;0.00;0.00
Poznañ;S£OWACKIEGO;54/56;60-521;POZNAÑ;001;0;0.00;0;0;0.00;0.00
Poznañ;28 Czerwca 1956r.;296/298;61-469;Poznañ;001;0;0.00;22;13;7.00;29.00
Poznañ;28 Czerwca 1956r.;296/298;61-469;Poznañ;001;0;0.00;0;0;0.00;0.00
Poznañ;28 Czerwca 1956r.;296/298;61-469;Poznañ;001;0;0.00;0;0;0.00;0.00
Poznañ;Jesionowa;14;61-432;Poznañ;001;0;0.00;73;20;7.10;80.10
Poznañ;Jesionowa;14;61-432;Poznañ;001;119;5.00;0;0;0.00;0.00
Poznañ;Jesionowa;14;61-432;Poznañ;001;565;28.00;0;0;0.00;0.00
Poznañ;os. Boles³awa Œmia³ego;107;60-682;Poznañ;001;0;0.00;108;8;3.26;111.26
Poznañ;os. Boles³awa Œmia³ego;107;60-682;Poznañ;001;200;8.00;0;0;0.00;0.00
