,Ulica Nr domu,x,y,Uczniowie,Etaty,Smiecowki,Etaty smieciowki,Suma etaty
83,Kazimierza Wielkiego 117,19.910816,50.075289,33,5,3,0.63,5.6
84,Klemensa Janickiego 1a/U4,19.981024,50.074012,43,8,0,0.0,8.0
85,Kobierzyńska 174a,19.902950,50.014003,34,5,1,0.5,5.5
86,Kolorowe 8/48,19.939167,50.061668,62,6,0,0.0,6.0
87,Komandosów 13,19.930744,50.044263,125,11,6,1.91,12.9
88,Komandosów 21,19.932029,50.042949,44,8,3,1.11,9.1
89,Komatantów 13,19.939167,50.061668,149,11,6,1.81,12.8
90,Komuny Paryskiej 2a,19.895505,50.006685,75,8,1,0.75,8.8
91,Kopernika 16,19.946828,50.061184,87,7,2,0.72,7.7
92,Kordylewskiego 14,19.963819,50.061401,104,10,3,0.4,10.4
93,Korzeniaka 14,19.833659,50.071567,38,0,1,0.5,0.5
94,Kosocicka 38A,20.008831,50.004516,70,6,0,0.0,6.0
95,Kotlarska 5a,19.957963,50.056192,125,12,2,0.36,12.4
96,Kozienicka 17,19.869936,50.006538,135,12,2,1.0,13.0
97,Krowoderska 8,19.937685,50.067384,32,0,0,0.0,0.0
98,Krowoderskich Zuchów 15a,19.928256,50.087883,100,7,5,0.72,7.7
99,Krowoderskich Zuchów 28,19.924724,50.090093,150,13,9,3.95,17.0
100,Królowej Jadwigi 327,19.856870,50.070431,12,2,0,0.0,2.0
101,Ks. Jozefa Meiera 20B,19.964659,50.099007,51,4,4,2.89,6.9
102,Ks. Wł. Gurgacza 1,19.950497,50.056129,98,8,1,0.5,8.5
103,Kuczkowskiego 12/14,19.988384,50.097165,22,2,0,0.0,2.0
104,Kurczaba 19,20.007069,50.014282,143,14,0,0.0,14.0
105,Kurczaba 5,20.004774,50.014835,47,5,5,0.84,5.8
106,Kutrzeby 6,19.939167,50.061668,154,16,2,0.22,16.2
107,Kuźnicy Kołłątajowskiej 13D,19.958449,50.097476,34,4,0,0.0,4.0
108,Kuźnicy Kołłątajowskiej 29A-B,19.954477,50.098246,69,12,12,2.68,14.7
109,L. Wenedy 7,20.005365,50.018891,180,19,2,1.2,20.2
110,Legnicka 18,19.951242,50.089842,25,2,1,0.08,2.1
111,Legnicka 26,19.953371,50.090184,35,5,1,0.25,5.3
112,Lekarska 5,19.941688,50.086274,149,16,2,0.3,16.3
113,Leopolda Staffa 6,19.911100,50.072742,169,17,0,0.0,17.0
114,Lipska 55,20.000017,50.042693,59,8,0,0.0,8.0
115,Lotnicza 4a,19.967957,50.072657,69,7,0,0.0,7.0
116,Lubocka 1 E,20.076269,50.092554,69,0,5,1.0,1.0
117,Ludwinowska 6,19.936978,50.044264,60,11,5,1.24,12.2
118,Macieja Dębskiego 125,19.901300,49.987300,3,1,0,0.0,1.0
119,Macieja Miechowity 11,19.966647,50.083420,100,8,3,0.36,8.4
120,Macieja Miechowity 4,19.964902,50.083031,150,14,2,0.27,14.3
121,Mackiewicza 15,19.946406,50.093377,85,0,0,0.0,0.0
122,Majora M. Słabego 18,19.939167,50.061668,44,5,6,0.83,5.8
123,Mazowiecka 14 C,19.928230,50.073059,71,0,0,0.0,0.0
124,Mazowiecka 45,19.924981,50.075876,145,13,4,2.83,15.8
125,Merkuriusza Polskiego 6,19.944828,49.994432,95,8,2,0.26,8.3
126,Michała Żaka 19/Lu 4-5,19.948737,50.012014,110,13,0,0.0,13.0
127,Michałowskiego 11,19.927799,50.066007,13,1,1,0.38,1.4
128,Mieczysława Wrony 115,19.872293,49.987850,75,0,0,0.0,0.0
129,Mieszczańska 13,19.927224,50.046682,42,7,0,0.0,7.0
130,Mikołaja Reja 13,19.944309,50.086323,78,0,5,1.0,1.0
131,Miodowa 24,19.944220,50.052879,6,2,0,0.0,2.0
132,Miodowa 36,19.947623,50.053598,96,0,0,0.0,0.0
133,Mirtowa 2,19.945757,49.984306,150,0,0,0.0,0.0
134,Mlaskotów 2 a,19.916587,50.054666,169,13,5,2.4,15.4
135,Moczydło 7a,19.949844,49.992794,40,5,1,0.2,5.2
136,Myśliwska 64,19.992317,50.045683,150,0,0,0.0,0.0
137,Myśliwska 76,19.999179,50.045302,22,3,0,0.0,3.0
138,Młyńska Boczna 4,19.939167,50.061668,144,25,7,2.77,27.8
139,NAZARETAŃSKA 1,19.965176,50.004611,93,10,1,0.5,10.5
140,Na Błonie 15c,19.884810,50.077747,147,14,1,0.04,14.0
141,"OBOZOWA 24A/1,2,3",19.906980,50.012139,7,1,0,0.0,1.0
142,OKÓLNA 18,19.982367,50.015940,145,14,1,0.17,14.2
143,OS. 2. PUŁKU LOTNICZEGO 44/1A,19.939167,50.061668,21,3,0,0.0,3.0
144,OS. SŁONECZNE 10,19.939167,50.061668,125,9,5,1.06,10.1
145,Obozowa 10,19.904205,50.011344,30,0,5,0.88,0.9
146,Obozowa 41a/4,19.905744,50.015390,10,1,1,0.5,1.5
147,Orla 52,19.827236,50.042838,40,3,1,0.63,3.6
148,Os. Centrum E 15a,19.939167,50.061668,5,0,2,1.0,1.0
149,Os. Na Wzgórzach 1A,19.939167,50.061668,75,7,0,0.0,7.0
150,Os. Piastów 10,19.939167,50.061668,169,15,5,1.25,16.3
151,Os. Teatralne 30/39,19.939167,50.061668,34,4,1,0.5,4.5
152,Os.Piastów 41/86,19.939167,50.061668,15,0,1,0.27,0.3
153,Osiedle Jagiellońskie 8,19.939167,50.061668,124,10,2,0.22,10.2
154,Osiedle Kalinowe 11,19.939167,50.061668,145,12,5,1.79,13.8
155,Osiedle Na Wzgórzach 11,19.939167,50.061668,165,13,4,1.17,14.2
156,Osiedle Spółdzielcze 5,19.939167,50.061668,125,9,5,1.1,10.1
157,Osiedle Strusia 8,19.939167,50.061668,146,16,3,0.85,16.9
158,Ostatnia 1d,19.978702,50.069712,73,8,2,0.95,9.0
159,Oś. Bohaterów Września 3/3a,19.939167,50.061668,22,3,0,0.0,3.0
160,Pachońskiego 8,19.927875,50.094432,66,7,7,3.06,10.1
161,Parkowa 14,19.953197,50.040880,150,14,2,0.94,14.9
162,Piaszczysta 8,19.929118,50.097216,172,7,1,0.6,7.6
163,Piekarska 12,19.940312,50.048055,67,6,2,0.16,6.2
164,Piekarska 14,19.939850,50.047897,99,8,2,0.24,8.2
165,Piekarska 7a,19.940448,50.048530,106,8,0,0.0,8.0
166,Pigonia 2a,19.932960,50.094048,141,14,3,0.29,14.3
167,Piltza 34,19.890380,50.011194,23,5,0,0.0,5.0
168,Pl. Gen. Wł. Sikorskiego 12,19.939167,50.061668,70,7,0,0.0,7.0
169,Pod Fortem 2C/LU1,19.923766,50.082673,18,3,0,0.0,3.0
170,Podedworze 2a,19.970534,50.014037,150,13,2,0.33,13.3
171,Por. Wąchały 7,19.939167,50.061668,90,10,4,1.28,11.3
172,Poronińska 7,19.915649,49.987417,125,11,2,0.12,11.1
173,Porzeczkowa 3,19.944267,50.102232,125,0,0,0.0,0.0
174,Praska 64,19.907285,50.044755,0,0,0,0.0,0.0
175,Prochowa 12,19.955716,50.056843,73,10,1,0.5,10.5
176,Prosta 35B,19.988985,50.021435,34,6,0,0.0,6.0
177,Przemiarki 23 A/L3,19.902075,50.022483,50,6,0,0.0,6.0
178,Przemysłowa 4/459,19.959387,50.049217,154,18,0,0.0,18.0
179,Przewóz 36,19.994045,50.041630,54,3,0,0.0,3.0
180,Przykopy 10,19.946451,50.015889,98,10,2,0.2,10.2
181,Prądnicka 10,19.935904,50.075366,29,0,25,15.21,15.2
182,Prądnicka 72b,19.937824,50.086113,115,7,6,3.8,10.8
183,Pszczelna 35,19.915915,50.023483,119,9,0,0.0,9.0
184,PĘDZICHÓW 16,19.938535,50.070678,124,15,2,0.94,15.9
185,RADZIKOWSKIEGO 1,19.939167,50.061668,13,2,0,0.0,2.0
186,Radzikowskiego 40A,19.939167,50.061668,22,0,1,0.8,0.8
187,Radzikowskiego 47c,19.939167,50.061668,85,13,2,0.12,13.1
188,Rajska 14,19.929404,50.064657,175,14,6,1.22,15.2
189,Rakuś 72,20.034830,50.009124,46,5,1,0.5,5.5
190,Romana Prawocheńskiego 7,20.157252,50.069688,114,0,0,0.0,0.0
191,Rzepicgy 46,19.828741,50.058675,12,2,0,0.0,2.0
192,Różyckiego 5,19.911426,50.088159,37,10,2,1.48,11.5
193,RŻĄCKA 1,19.983287,50.006167,149,13,3,1.18,14.2
194,SASKA 11,19.983469,50.043515,300,25,3,0.47,25.5
195,SKOTNICKA 86,19.875771,50.017918,100,0,0,0.0,0.0
196,SKWEROWA 3,19.923770,50.050647,174,14,7,2.39,16.4
197,SOSNOWIECKA 12,19.886340,50.094194,89,5,0,0.0,5.0
198,SPÓŁDZIELCÓW 7,19.980521,50.017644,125,11,2,0.16,11.2
199,STAROWIEJSKA 36,19.929786,49.987477,65,3,0,0.0,3.0
200,Sanocka 4,19.952556,50.017365,145,12,4,1.13,13.1
201,Sapiehy 65,19.939167,50.061668,16,2,0,0.0,2.0
202,Sebastiana Klonowica 17c,19.956155,50.020117,31,3,0,0.0,3.0
203,Siarczana 15,19.929837,50.006358,13,1,0,0.0,1.0
204,Siemaszki 32b,19.939495,50.085384,40,5,2,1.0,6.0
205,Siewna 23c,19.949133,50.093389,214,20,5,3.57,23.6
206,Skarżyńskiego 3,19.994849,50.085951,93,7,1,0.1,7.1
207,Skotnicka 101,19.876025,50.012619,90,9,0,0.0,9.0
208,Skośna 2,19.897300,50.014000,245,25,7,1.35,26.4
209,Smoleńsk 2,19.932587,50.059284,50,5,0,0.0,5.0
210,Sodowa 42,19.900111,50.033202,5,3,0,0.0,3.0
211,"Sołtysowska 12A/47,48",20.019042,50.064112,51,7,0,0.0,7.0
212,Spadochroniarzy 1,19.983707,50.080311,15,0,0,0.0,0.0
213,Stachiewicza 21,19.916499,50.083964,108,15,3,0.41,15.4
214,Stanisława Millana 15,19.939167,50.061668,21,0,0,0.0,0.0
215,Starowiślna 7,19.942827,50.058716,100,9,2,0.83,9.8
216,Stawowa 179,19.884658,50.096280,98,0,0,0.0,0.0
217,Strycharska 10,19.974780,50.043291,21,2,0,0.0,2.0
218,Strzelców 5,19.973170,50.092095,168,20,2,0.17,20.2
219,Strąkowa 7,19.924690,50.026640,326,33,5,1.49,34.5
220,Stępnia 1,20.047904,50.015828,175,14,3,0.7,14.7
221,Sudolska 3,19.965956,50.091719,220,19,6,1.77,20.8
222,Szafera 2,19.964242,50.060799,120,10,0,0.0,10.0
223,Szkolne 31,19.939167,50.061668,100,7,5,1.32,8.3
224,Szwedzka 68,19.927900,50.043704,45,4,6,2.11,6.1
225,Słomiana 8,19.925016,50.043012,150,11,3,1.08,12.1
226,Słoneckiego 5,19.975547,50.090720,39,4,2,0.5,4.5
227,Tadeussza Kościuszki 88,19.939167,50.061668,14,3,0,0.0,3.0
228,Teligi 28,20.009948,50.014784,170,13,4,1.41,14.4
229,Telimeny 7,20.017615,50.019444,150,14,2,0.16,14.2
230,Trybuny Ludów 71,19.968375,50.016749,58,6,2,1.0,7.0
231,Turniejowa 73/43,19.959762,50.008881,37,2,4,2.36,4.4
232,Turystyczna 8,19.947294,50.090100,51,4,1,0.08,4.1
233,Twardowskiego 90,19.921357,50.042404,148,15,1,0.16,15.2
234,URZĘDNICZA 65,19.921185,50.074120,95,0,0,0.0,0.0
235,Urocza 36,19.940136,50.024213,37,3,2,1.25,4.3
236,Urocze 6,19.939167,50.061668,341,27,5,2.1,29.1
237,Urzędnicza 38/3,19.918872,50.070975,19,3,0,0.0,3.0
238,Ułanów 38,19.985051,50.075554,119,9,2,0.32,9.3
239,V.Hofmana 9,19.899594,50.057081,189,41,0,0.0,41.0
240,W.Danka 1,19.925662,50.093003,125,9,3,0.26,9.3
241,W.Weryhy-Darowskiego 18/1 Lu,19.847901,50.088002,32,4,0,0.0,4.0
242,WIELICKA 28,19.964819,50.039974,2,1,0,0.0,1.0
243,WYSŁOUCHÓW 30C,19.960435,50.007297,12,2,1,0.03,2.0
244,Wadowicka 6 6,19.939034,50.032758,53,0,3,2.4,2.4
245,WaleregoEliasza Radzikowskiego 47c,19.939167,50.061668,33,4,4,0.9,4.9
246,Warszawska 6,19.943019,50.068361,105,13,1,0.13,13.1
247,Wenecja 6,19.925848,50.060980,9,0,1,0.75,0.8
248,Wicherkiewicza 19/3-4,19.939167,50.061668,38,5,1,0.13,5.1
249,Wichrowa 7,19.910453,50.003274,37,1,0,0.0,1.0
250,Widok 23,19.981391,50.058909,118,11,4,0.33,11.3
251,Wielicka 265,19.999717,50.012773,65,0,0,0.0,0.0
252,Wielicka 76B,19.973056,50.032058,70,5,2,0.98,6.0
253,Wieniawskiego 66 lok.1,19.969882,50.078892,531,29,0,0.0,29.0
254,Wincentego Danka 8,19.927308,50.093303,58,0,7,0.21,0.2
255,Wodna 4,19.970910,50.035690,11,4,1,0.05,4.1
256,Wrocławska 75,19.920382,50.079962,12,4,2,1.26,5.3
257,Wrocławska 8/1,19.932789,50.075148,22,3,0,0.0,3.0
258,Wspólna 46,19.957860,50.018125,68,9,1,0.25,9.3
259,Wysłouchów 4,19.949888,50.007740,262,33,1,0.88,33.9
260,ZAKĄTEK 2,19.915825,50.076277,12,0,0,0.0,0.0
261,Za Targiem 4,19.916391,50.069334,150,14,5,0.93,14.9
262,Zaborze 1,19.920670,50.019761,10,1,0,0.0,1.0
263,Zachodnia 6a,19.908981,50.025484,270,24,2,0.98,25.0
264,Zagaje 47,19.909711,49.998389,221,23,0,0.0,23.0
265,Zagościniec 1,20.124030,50.097564,157,13,4,1.23,14.2
266,Zamiejska 2,19.897987,50.011282,46,4,0,0.0,4.0
267,Zamojskiego 39,19.943962,50.040870,24,2,1,0.75,2.8
268,Zarzecze 23,19.897961,50.073285,39,4,3,1.75,5.8
269,Zmartwychwstania Pańskiego 2A,19.964183,50.023112,85,5,0,0.0,5.0
270,Zwycięstwa 22,19.976745,50.061585,125,9,8,0.78,9.8
271,Zygmuntowska 12A,19.908140,50.085676,170,13,9,5.7,18.7
272,al. 29 Listopada 191,19.939167,50.061668,66,6,0,0.0,6.0
273,al. Dygasińskiego 25,19.939167,50.061668,0,0,0,0.0,0.0
274,al. Grottgera 28,19.939167,50.061668,99,9,3,0.51,9.5
275,al. Kasztanowa 76a,19.939167,50.061668,40,6,2,0.7,6.7
276,krakowiaków 18,19.939167,50.061668,100,7,4,0.93,7.9
277,mjr.Łupaszki 13,19.850993,50.083841,45,7,0,0.0,7.0
278,os Przy Arce 4,19.939167,50.061668,125,9,7,2.85,11.9
279,os. Albertyńskie 23,19.939167,50.061668,124,11,3,0.34,11.3
280,os. Bohaterów Września 15,19.939167,50.061668,125,10,5,0.82,10.8
281,os. Bohaterów Września 82,19.939167,50.061668,96,13,4,1.8,14.8
282,os. Centrum A 14,19.939167,50.061668,58,8,0,0.0,8.0
283,os. Centrum B 11,19.939167,50.061668,100,10,3,0.41,10.4
284,os. Dywizjonu 303 22B,19.939167,50.061668,194,0,19,3.8,3.8
285,os. Dywizjonu 303 37/1,19.939167,50.061668,108,11,0,0.0,11.0
286,os. Dywizjonu 303 49,19.939167,50.061668,199,16,3,0.54,16.5
287,os. Jagiellońskie 16,19.939167,50.061668,121,11,3,0.75,11.8
288,os. Kazimierzowskie 30,19.939167,50.061668,79,2,5,3.21,5.2
289,os. Kolorowe 28,19.939167,50.061668,169,14,2,0.49,14.5
290,os. Na Lotnisku 15,19.939167,50.061668,120,10,4,1.04,11.0
291,os. Na Skarpie 46,19.939167,50.061668,120,12,4,0.37,12.4
292,os. Na Stoku 21,19.939167,50.061668,125,10,4,1.72,11.7
293,os. Oświecenia 30,19.939167,50.061668,118,0,0,0.0,0.0
294,os. Piastów 21 B,19.939167,50.061668,51,6,0,0.0,6.0
295,os. Piastów 23 A,19.939167,50.061668,36,3,1,0.5,3.5
296,os. Stalowe 10,19.939167,50.061668,98,8,4,1.16,9.2
297,os. Szkolne 37,19.939167,50.061668,15,3,0,0.0,3.0
298,os. Tysiąclecia 12,19.939167,50.061668,145,13,2,0.39,13.4
299,os. UROCZE 15,19.939167,50.061668,45,25,11,3.51,28.5
300,os. Urocze 9,19.939167,50.061668,85,11,4,0.69,11.7
301,os. Wandy 2,19.939167,50.061668,100,6,8,2.24,8.2
302,os. Zielone 27,19.939167,50.061668,100,6,6,1.7,7.7
303,os.Dywizjonu 303 12,19.939167,50.061668,171,23,5,1.92,24.9
304,os.Dywizjonu 303 21C/LU81,19.939167,50.061668,50,4,0,0.0,4.0
305,os.Handlowe 3,19.939167,50.061668,125,12,5,1.49,13.5
306,os.Hutnicze 14,19.939167,50.061668,110,14,5,1.6,15.6
307,os.Kościuszkowskie 8,19.939167,50.061668,99,9,2,0.21,9.2
308,os.Niepodległości 4,19.939167,50.061668,133,15,3,0.8,15.8
309,os.Ogrodowe 3,19.939167,50.061668,100,8,4,1.78,9.8
310,os.Oświecenia 31/1a,19.939167,50.061668,83,7,0,0.0,7.0
311,os.Tysiąclecia 37,19.939167,50.061668,185,12,4,1.01,13.0
312,os.Złotego Wieku 13,19.939167,50.061668,145,12,2,0.36,12.4
313,oś. 2 Puku Lotniczego 1E/6a-6b,19.939167,50.061668,46,4,0,0.0,4.0
314,oś. Piastów 48,19.939167,50.061668,173,17,4,1.48,18.5
315,ul. Borkowska 30,19.905096,50.001886,58,6,6,0.78,6.8
316,ul. Konecznego 2/6u,19.945904,50.083428,37,3,5,2.75,5.8
317,ul.Kopernika 19,19.952147,50.062804,7,0,0,0.0,0.0
318,ul.ks.Józefa Meiera 20G/1A,19.965037,50.099842,15,2,0,0.0,2.0
319,ŁOKIETKA 135,19.914211,50.097178,71,5,0,0.0,5.0
320,ŁOWIECKA 5,19.920905,50.057035,50,6,0,0.0,6.0
321,ŁUŻYCKA 71A,19.968313,50.012607,85,9,0,0.0,9.0
322,Łany 14a,19.914083,50.024329,51,4,0,0.0,4.0
323,"Łepkowskiego7 LU 2,3",19.962078,50.090201,120,15,0,0.0,15.0
324,Łowienicka 14,19.945342,50.008261,32,4,1,0.13,4.1
325,Łuczyńskiego 10,19.939167,50.061668,46,5,0,0.0,5.0
326,Łużycka 28,19.963796,50.015450,116,0,25,6.22,6.2
327,łobzowska 49,19.932222,50.070733,38,4,0,0.0,4.0
328,Śnieżna 15,19.991815,50.021016,36,5,0,0.0,5.0
329,Żabiniec 45,19.946944,50.084497,23,4,2,1.25,5.3
330,Żwirki i Wigury 3,19.972489,50.079181,75,6,2,0.34,6.3
331,Żywiecka 24,19.919074,50.014179,100,8,2,0.58,8.6
