,﻿Miejscowość,Ulica,Nr domu,"Uczniowie, wychow., słuchacze",etaty,simiecowki,etaty smieciowki,suma ataty,y,x
324,Kraków,Łany,14a,51,4,0,0.0,4.0,52.408333,16.933889
325,Kraków,Łepkowskiego7,"LU 2,3",120,15,0,0.0,15.0,52.392508,16.837019
326,Kraków,Łowienicka,14,32,4,1,0.13,4.1,52.408333,16.933889
327,Kraków,Łuczyńskiego,10,46,5,0,0.0,5.0,52.407083,16.851855
328,Kraków,Łużycka,28,116,0,25,6.22,6.2,52.452786,16.932137
329,Kraków,łobzowska,49,38,4,0,0.0,4.0,52.408333,16.933889
330,Kraków,Śnieżna,15,36,5,0,0.0,5.0,52.408333,16.933889
331,Kraków,Żabiniec,45,23,4,2,1.25,5.3,52.408333,16.933889
332,Kraków,Żwirki i Wigury,3,75,6,2,0.34,6.3,52.426757,16.850726
333,Kraków,Żywiecka,24,100,8,2,0.58,8.6,,
