,﻿Miejscowość,Ulica,Nr domu,"Uczniowie, wychow., słuchacze",etaty,simiecowki,etaty smieciowki,suma ataty,y,x
74,Kraków,KOSZYKARSKA,21C/3,53,6,1,0.5,6.5,52.467043,16.822971
75,Kraków,KRAWIECKA,18,47,6,0,0.0,6.0,52.373724,16.872873
76,Kraków,KUŹNICY KOŁŁĄTAJOWSKIEJ,17K,18,2,1,0.5,2.5,52.408333,16.933889
77,Kraków,Kaczeńcowa,4,27,0,3,1.5,1.5,52.380316,16.822958
78,Kraków,Kamieniecka,2,38,7,0,0.0,7.0,52.380038,16.849175
79,Kraków,Kasztanowa,4a,66,30,50,24.02,54.0,52.408333,16.933889
80,Kraków,Kasztanowa,6,174,15,5,0.65,15.7,52.365614,16.908751
81,Kraków,Katowicka,30,67,5,1,0.2,5.2,52.399430,16.961865
82,Kraków,Katowicka,47,42,1,7,5.65,6.7,52.398123,16.965147
83,Kraków,Kazimierza Odnowiciela,4,195,16,4,0.31,16.3,52.363198,16.887676
84,Kraków,Kazimierza Wielkiego,117,33,5,3,0.63,5.6,52.408333,16.933889
85,Kraków,Klemensa Janickiego,1a/U4,43,8,0,0.0,8.0,52.419288,16.896921
86,Kraków,Kobierzyńska,174a,34,5,1,0.5,5.5,52.408333,16.933889
87,Kraków,Kolorowe,8/48,62,6,0,0.0,6.0,52.408333,16.933889
88,Kraków,Komandosów,13,125,11,6,1.91,12.9,52.476512,16.767620
89,Kraków,Komandosów,21,44,8,3,1.11,9.1,52.408333,16.933889
90,Kraków,Komatantów,13,149,11,6,1.81,12.8,52.408333,16.933889
91,Kraków,Komuny Paryskiej,2a,75,8,1,0.75,8.8,52.408333,16.933889
92,Kraków,Kopernika,16,87,7,2,0.72,7.7,52.408333,16.933889
93,Kraków,Kordylewskiego,14,104,10,3,0.4,10.4,52.386036,16.880377
94,Kraków,Korzeniaka,14,38,0,1,0.5,0.5,52.372014,16.889202
95,Kraków,Kosocicka,38A,70,6,0,0.0,6.0,52.453948,16.876294
96,Kraków,Kotlarska,5a,125,12,2,0.36,12.4,52.420190,16.966096
97,Kraków,Kozienicka,17,135,12,2,1.0,13.0,52.352787,16.940500
98,Kraków,Krowoderska,8,32,0,0,0.0,0.0,52.408333,16.933889
99,Kraków,Krowoderskich Zuchów,15a,100,7,5,0.72,7.7,52.408333,16.933889
100,Kraków,Krowoderskich Zuchów,28,150,13,9,3.95,17.0,52.408333,16.933889
101,Kraków,Królowej Jadwigi,327,12,2,0,0.0,2.0,52.408333,16.933889
102,Kraków,Ks. Jozefa Meiera,20B,51,4,4,2.89,6.9,52.408333,16.933889
103,Kraków,Ks. Wł. Gurgacza,1,98,8,1,0.5,8.5,52.408333,16.933889
104,Kraków,Kuczkowskiego,12/14,22,2,0,0.0,2.0,52.408333,16.933889
105,Kraków,Kurczaba,19,143,14,0,0.0,14.0,52.408333,16.933889
106,Kraków,Kurczaba,5,47,5,5,0.84,5.8,52.408333,16.933889
107,Kraków,Kutrzeby,6,154,16,2,0.22,16.2,52.408333,16.933889
108,Kraków,Kuźnicy Kołłątajowskiej,13D,34,4,0,0.0,4.0,52.408333,16.933889
109,Kraków,Kuźnicy Kołłątajowskiej,29A-B,69,12,12,2.68,14.7,52.408333,16.933889
110,Kraków,L. Wenedy,7,180,19,2,1.2,20.2,52.408333,16.933889
111,Kraków,Legnicka,18,25,2,1,0.08,2.1,52.377527,16.848656
112,Kraków,Legnicka,26,35,5,1,0.25,5.3,52.377251,16.849360
113,Kraków,Lekarska,5,149,16,2,0.3,16.3,52.356289,16.990253
114,Kraków,Leopolda Staffa,6,169,17,0,0.0,17.0,52.406407,16.854052
115,Kraków,Lipska,55,59,8,0,0.0,8.0,52.408333,16.933889
116,Kraków,Lotnicza,4a,69,7,0,0.0,7.0,52.408333,16.933889
117,Kraków,Lubocka,1 E,69,0,5,1.0,1.0,52.408333,16.933889
118,Kraków,Ludwinowska,6,60,11,5,1.24,12.2,52.435885,16.819112
119,Kraków,Macieja Dębskiego,125,3,1,0,0.0,1.0,52.408333,16.933889
120,Kraków,Macieja Miechowity,11,100,8,3,0.36,8.4,52.353610,16.934471
121,Kraków,Macieja Miechowity,4,150,14,2,0.27,14.3,52.353420,16.935992
122,Kraków,Mackiewicza,15,85,0,0,0.0,0.0,52.408333,16.933889
123,Kraków,Majora M. Słabego,18,44,5,6,0.83,5.8,52.408333,16.933889
124,Kraków,Mazowiecka,14 C,71,0,0,0.0,0.0,52.424775,16.904129
125,Kraków,Mazowiecka,45,145,13,4,2.83,15.8,52.425576,16.900856
126,Kraków,Merkuriusza Polskiego,6,95,8,2,0.26,8.3,52.408333,16.933889
127,Kraków,Michała Żaka,19/Lu 4-5,110,13,0,0.0,13.0,52.408333,16.933889
128,Kraków,Michałowskiego,11,13,1,1,0.38,1.4,52.425969,16.914689
129,Kraków,Mieczysława Wrony,115,75,0,0,0.0,0.0,52.408333,16.933889
130,Kraków,Mieszczańska,13,42,7,0,0.0,7.0,52.408333,16.933889
131,Kraków,Mikołaja Reja,13,78,0,5,1.0,1.0,52.408333,16.933889
132,Kraków,Miodowa,24,6,2,0,0.0,2.0,52.413559,16.873558
133,Kraków,Miodowa,36,96,0,0,0.0,0.0,52.413904,16.871106
134,Kraków,Mirtowa,2,150,0,0,0.0,0.0,52.487714,16.941133
135,Kraków,Mlaskotów,2 a,169,13,5,2.4,15.4,52.408333,16.933889
136,Kraków,Moczydło,7a,40,5,1,0.2,5.2,52.408333,16.933889
137,Kraków,Myśliwska,64,150,0,0,0.0,0.0,52.408333,16.933889
138,Kraków,Myśliwska,76,22,3,0,0.0,3.0,52.408333,16.933889
139,Kraków,Młyńska Boczna,4,144,25,7,2.77,27.8,52.410478,16.925742
140,Kraków,NAZARETAŃSKA,1,93,10,1,0.5,10.5,52.408333,16.933889
141,Kraków,Na Błonie,15c,147,14,1,0.04,14.0,52.408333,16.933889
142,Kraków,OBOZOWA,"24A/1,2,3",7,1,0,0.0,1.0,52.399390,16.883455
143,Kraków,OKÓLNA,18,145,14,1,0.17,14.2,52.408333,16.933889
144,Kraków,OS. 2. PUŁKU LOTNICZEGO,44/1A,21,3,0,0.0,3.0,52.408333,16.933889
145,Kraków,OS. SŁONECZNE,10,125,9,5,1.06,10.1,52.398833,16.880143
146,Kraków,Obozowa,10,30,0,5,0.88,0.9,52.399722,16.884932
147,Kraków,Obozowa,41a/4,10,1,1,0.5,1.5,52.408333,16.933889
148,Kraków,Orla,52,40,3,1,0.63,3.6,52.408333,16.933889
149,Kraków,Os. Centrum E,15a,5,0,2,1.0,1.0,52.408333,16.933889
150,Kraków,Os. Na Wzgórzach,1A,75,7,0,0.0,7.0,52.408333,16.933889
151,Kraków,Os. Piastów,10,169,15,5,1.25,16.3,52.408333,16.933889
152,Kraków,Os. Teatralne,30/39,34,4,1,0.5,4.5,52.408333,16.933889
153,Kraków,Os.Piastów,41/86,15,0,1,0.27,0.3,52.408333,16.933889
154,Kraków,Osiedle Jagiellońskie,8,124,10,2,0.22,10.2,52.394136,16.952135
155,Kraków,Osiedle Kalinowe,11,145,12,5,1.79,13.8,52.368186,16.902509
156,Kraków,Osiedle Na Wzgórzach,11,165,13,4,1.17,14.2,52.408333,16.933889
157,Kraków,Osiedle Spółdzielcze,5,125,9,5,1.1,10.1,52.408333,16.933889
158,Kraków,Osiedle Strusia,8,146,16,3,0.85,16.9,52.396391,16.904123
159,Kraków,Ostatnia,1d,73,8,2,0.95,9.0,52.372915,16.867467
160,Kraków,Oś. Bohaterów Września,3/3a,22,3,0,0.0,3.0,52.371583,16.876448
161,Kraków,Pachońskiego,8,66,7,7,3.06,10.1,52.408333,16.933889
162,Kraków,Parkowa,14,150,14,2,0.94,14.9,52.408333,16.933889
163,Kraków,Piaszczysta,8,172,7,1,0.6,7.6,52.408333,16.933889
164,Kraków,Piekarska,12,67,6,2,0.16,6.2,52.403860,16.928636
165,Kraków,Piekarska,14,99,8,2,0.24,8.2,52.404230,16.927273
166,Kraków,Piekarska,7a,106,8,0,0.0,8.0,52.404834,16.927982
167,Kraków,Pigonia,2a,141,14,3,0.29,14.3,52.408333,16.933889
168,Kraków,Piltza,34,23,5,0,0.0,5.0,52.408333,16.933889
169,Kraków,Pl. Gen. Wł. Sikorskiego,12,70,7,0,0.0,7.0,52.392097,16.915334
170,Kraków,Pod Fortem,2C/LU1,18,3,0,0.0,3.0,52.408333,16.933889
171,Kraków,Podedworze,2a,150,13,2,0.33,13.3,52.412484,16.932487
172,Kraków,Por. Wąchały,7,90,10,4,1.28,11.3,52.408333,16.933889
173,Kraków,Poronińska,7,125,11,2,0.12,11.1,52.408333,16.933889
174,Kraków,Porzeczkowa,3,125,0,0,0.0,0.0,52.362546,17.015900
175,Kraków,Praska,64,0,0,0,0.0,0.0,52.408333,16.933889
176,Kraków,Prochowa,12,73,10,1,0.5,10.5,52.374062,16.898172
177,Kraków,Prosta,35B,34,6,0,0.0,6.0,52.408333,16.933889
178,Kraków,Przemiarki,23 A/L3,50,6,0,0.0,6.0,52.344770,17.016072
179,Kraków,Przemysłowa,4/459,154,18,0,0.0,18.0,52.402049,16.918059
180,Kraków,Przewóz,36,54,3,0,0.0,3.0,52.408333,16.933889
181,Kraków,Przykopy,10,98,10,2,0.2,10.2,52.408333,16.933889
182,Kraków,Prądnicka,10,29,0,25,15.21,15.2,52.422835,16.873689
183,Kraków,Prądnicka,72b,115,7,6,3.8,10.8,52.408333,16.933889
184,Kraków,Pszczelna,35,119,9,0,0.0,9.0,52.408333,16.933889
185,Kraków,PĘDZICHÓW,16,124,15,2,0.94,15.9,52.408333,16.933889
186,Kraków,RADZIKOWSKIEGO,1,13,2,0,0.0,2.0,52.397400,16.959700
187,Kraków,Radzikowskiego,40A,22,0,1,0.8,0.8,52.408333,16.933889
188,Kraków,Radzikowskiego,47c,85,13,2,0.12,13.1,52.408333,16.933889
189,Kraków,Rajska,14,175,14,6,1.22,15.2,52.408333,16.933889
190,Kraków,Rakuś,72,46,5,1,0.5,5.5,52.408333,16.933889
191,Kraków,Romana Prawocheńskiego,7,114,0,0,0.0,0.0,52.408333,16.933889
192,Kraków,Rydygiera,18,2,1,0,0.0,1.0,52.408333,16.933889
193,Kraków,Rzepicgy,46,12,2,0,0.0,2.0,52.408333,16.933889
194,Kraków,Różyckiego,5,37,10,2,1.48,11.5,52.408333,16.933889
195,Kraków,RŻĄCKA,1,149,13,3,1.18,14.2,52.408333,16.933889
196,Kraków,SASKA,11,300,25,3,0.47,25.5,52.408333,16.933889
197,Kraków,SKOTNICKA,86,100,0,0,0.0,0.0,52.408333,16.933889
198,Kraków,SKWEROWA,3,174,14,7,2.39,16.4,52.408333,16.933889
199,Kraków,SOSNOWIECKA,12,89,5,0,0.0,5.0,52.369880,16.897912
200,Kraków,SPÓŁDZIELCÓW,7,125,11,2,0.16,11.2,52.408333,16.933889
201,Kraków,STAROWIEJSKA,36,65,3,0,0.0,3.0,52.408333,16.933889
202,Kraków,Sanocka,4,145,12,4,1.13,13.1,52.408333,16.933889
203,Kraków,Sapiehy,65,16,2,0,0.0,2.0,52.408333,16.933889
204,Kraków,Sebastiana Klonowica,17c,31,3,0,0.0,3.0,52.408333,16.933889
205,Kraków,Siarczana,15,13,1,0,0.0,1.0,52.408333,16.933889
206,Kraków,Siemaszki,32b,40,5,2,1.0,6.0,52.408333,16.933889
207,Kraków,Siewna,23c,214,20,5,3.57,23.6,52.442020,16.916593
208,Kraków,Skarżyńskiego,3,93,7,1,0.1,7.1,52.408333,16.933889
209,Kraków,Skotnicka,101,90,9,0,0.0,9.0,52.408333,16.933889
210,Kraków,Skośna,2,245,25,7,1.35,26.4,52.408333,16.933889
211,Kraków,Smoleńsk,2,50,5,0,0.0,5.0,52.408333,16.933889
212,Kraków,Sodowa,42,5,3,0,0.0,3.0,52.408333,16.933889
213,Kraków,Sołtysowska,"12A/47,48",51,7,0,0.0,7.0,52.428176,16.938153
214,Kraków,Spadochroniarzy,1,15,0,0,0.0,0.0,52.408333,16.933889
215,Kraków,Stachiewicza,21,108,15,3,0.41,15.4,52.408333,16.933889
216,Kraków,Stanisława Millana,15,21,0,0,0.0,0.0,52.408333,16.933889
217,Kraków,Starowiślna,7,100,9,2,0.83,9.8,52.425816,16.856865
218,Kraków,Stawowa,179,98,0,0,0.0,0.0,52.408333,16.933889
219,Kraków,Strycharska,10,21,2,0,0.0,2.0,52.453740,16.925425
220,Kraków,Strzelców,5,168,20,2,0.17,20.2,52.392128,16.987898
221,Kraków,Strąkowa,7,326,33,5,1.49,34.5,52.408333,16.933889
222,Kraków,Stępnia,1,175,14,3,0.7,14.7,52.408333,16.933889
223,Kraków,Sudolska,3,220,19,6,1.77,20.8,52.408333,16.933889
224,Kraków,Szafera,2,120,10,0,0.0,10.0,52.408333,16.933889
225,Kraków,Szkolne,31,100,7,5,1.32,8.3,52.408333,16.933889
226,Kraków,Szwedzka,68,45,4,6,2.11,6.1,52.408333,16.933889
227,Kraków,Słomiana,8,150,11,3,1.08,12.1,52.435640,16.942418
228,Kraków,Słoneckiego,5,39,4,2,0.5,4.5,52.408333,16.933889
229,Kraków,Tadeussza Kościuszki,88,14,3,0,0.0,3.0,52.408673,16.919981
230,Kraków,Teligi,28,170,13,4,1.41,14.4,52.408333,16.933889
231,Kraków,Telimeny,7,150,14,2,0.16,14.2,52.408333,16.933889
232,Kraków,Trybuny Ludów,71,58,6,2,1.0,7.0,52.408333,16.933889
233,Kraków,Turniejowa,73/43,37,2,4,2.36,4.4,52.408333,16.933889
234,Kraków,Turystyczna,8,51,4,1,0.08,4.1,52.480391,16.778889
235,Kraków,Twardowskiego,90,148,15,1,0.16,15.2,52.408333,16.933889
236,Kraków,URZĘDNICZA,65,95,0,0,0.0,0.0,52.408333,16.933889
237,Kraków,Urocza,36,37,3,2,1.25,4.3,52.468493,16.950160
238,Kraków,Urocze,6,341,27,5,2.1,29.1,52.408333,16.933889
239,Kraków,Urzędnicza,38/3,19,3,0,0.0,3.0,52.408333,16.933889
240,Kraków,Ułanów,38,119,9,2,0.32,9.3,52.408333,16.933889
241,Kraków,V.Hofmana,9,189,41,0,0.0,41.0,52.408333,16.933889
242,Kraków,W.Danka,1,125,9,3,0.26,9.3,52.408333,16.933889
243,Kraków,W.Weryhy-Darowskiego,18/1 Lu,32,4,0,0.0,4.0,52.408333,16.933889
