Miejscowoœæ;Ulica;Nr domu;Uczniowie, wychow., s³uchacze;Nauczyciele;umowa smiec;w etatach;suma etaty
Poznañ;Mickiewicza;32/3;62;9;4;2.2;11.2
Poznañ;Miel¿yñskiego;21;98;9;4;0.22;9.22
Poznañ;Miko³owska;14;70;7;3;0.55;7.55
Poznañ;Milczañska;1;56;0;6;1.2;1.2
Poznañ;Mi³os³awska;4;45;0;4;1.52;1.52
Poznañ;Miñska;32;31;3;6;0.93;3.93
Poznañ;Na Uboczu;8;19;1;0;0.0;1.0
Poznañ;Nad Ró¿anym Potokiem;43;41;3;0;0.0;3.0
Poznañ;Nad Segank¹;4;25;4;1;0.74;4.74
Poznañ;Nad Segank¹;6;18;7;1;0.13;7.13
Poznañ;Nadolnik;9a;75;6;1;0.13;6.13
Poznañ;Naramowicka;222;74;10;0;0.0;10.0
Poznañ;Naramowicka;244;30;0;1;0.25;0.25
Poznañ;Noskowskiego;35/37;141;12;4;0.52;12.52
Poznañ;OS. ZWYCIÊSTWA;101;199;0;0;0.0;0.0
Poznañ;OS.RUSA;120;143;13;5;1.0;14.0
Poznañ;OSIEDLE TYSI¥CLECIA;69;137;13;1;0.22;13.22
Poznañ;Orzechowa;2 B;100;9;4;0.39;9.39
Poznañ;Os. Boh. II Wojny Œwiatowej;1;121;14;3;0.31;14.31
Poznañ;Os. Boles³awa Chrobrego;109;170;17;4;0.45;17.45
Poznañ;Os. Jagielloñskie;9;99;8;5;0.5;8.5
Poznañ;Os. Or³a Bia³ego;102;123;12;10;0.79;12.79
Poznañ;Os. Pod Lipami;102;145;12;6;0.47;12.47
Poznañ;Os. W³. £okietka;4h;29;3;1;0.07;3.07
Poznañ;Os. £okietka;3D;32;3;1;0.07;3.07
Poznañ;Os.Kosmonautów;107;124;11;4;0.89;11.89
Poznañ;Os.Kosmonautów;108;123;10;9;1.55;11.55
Poznañ;Os.Pod Lipami;107;81;17;5;1.91;18.91
Poznañ;Os.Pod Lipami;17;26;3;2;0.72;3.72
Poznañ;Os.PrzyjaŸni;135;125;16;3;0.35;16.35
Poznañ;Osiedle Boles³awa Œmia³ego;105;175;13;8;1.6;14.6
Poznañ;Osiedle Przyja¿ni;117;125;11;1;0.12;11.12
Poznañ;Osinowa;14a;116;11;2;0.66;11.66
Poznañ;Oœ. Jana III Sobieskiego;116;75;8;1;0.4;8.4
Poznañ;Palucha;15;34;4;1;0.5;4.5
Poznañ;Perzycka;11;44;8;2;0.58;8.58
Poznañ;Perzycka;30B;175;20;5;1.38;21.38
Poznañ;Piwna;1 A;93;9;5;0.43;9.43
Poznañ;Piwna;1a;34;3;0;0.0;3.0
Poznañ;Plac Wiktora Degi;9;110;9;0;0.0;9.0
Poznañ;Podchor¹¿ych;22;58;4;1;0.02;4.02
Poznañ;Podlaska;2;75;7;2;0.08;7.08
Poznañ;Polanka;7F;55;7;0;0.0;7.0
Poznañ;Powidzka;10;32;4;0;0.0;4.0
Poznañ;Poznañskie Sady;18;15;1;1;0.5;1.5
Poznañ;Prze³êcz;60;34;5;0;0.0;5.0
Poznañ;Przyjazni;129;125;12;0;0.0;12.0
Poznañ;Pr¹dzyñskiego;15a;125;12;2;0.25;12.25
Poznañ;Pr¹dzyñskiego;55;15;1;0;0.0;1.0
Poznañ;Pucka;18;18;2;1;0.17;2.17
Poznañ;Pu³askiego;16;70;8;4;0.35;8.35
Poznañ;P³omienna;1;117;9;3;1.61;10.61
Poznañ;P³owiecka;5;14;0;0;0.0;0.0
Poznañ;REJTANA;8;42;3;2;0.63;3.63
Poznañ;ROMKA STRZA£KOWSKIEGO;5/7;59;1;0;0.0;1.0
Poznañ;RUBIE¯;46;54;6;1;0.5;6.5
Poznañ;Rejtana;6;27;3;0;0.0;3.0
Poznañ;Romana Dmowskiego;17;137;11;7;1.75;12.75
Poznañ;Roœlinna;36a;26;0;2;0.06;0.06
Poznañ;Rycerska;8;28;2;2;1.3;3.3
Poznañ;Rynek Wildecki;4;44;5;0;0.0;5.0
Poznañ;Rzepiñska;19;23;1;0;0.0;1.0
Poznañ;Ró¿ana;1/3;120;0;0;0.0;0.0
Poznañ;SENATORSKA;1;72;5;4;1.09;6.09
Poznañ;STARO£ÊCKA;42;75;4;2;1.5;5.5
Poznañ;Saperska;29;70;6;3;0.3;6.3
Poznañ;Saperska;51/1;36;5;1;0.28;5.28
Poznañ;Sarmacka;105 A;64;7;4;0.63;7.63
Poznañ;Sarmacka;5;100;10;5;0.43;10.43
Poznañ;Sierakowska;23;123;11;6;1.68;12.68
Poznañ;Sióstr Misjonarek;1;49;8;3;0.41;8.41
Poznañ;Skarbka;9;75;7;5;1.08;8.08
Poznañ;Skibowa;13;200;21;2;0.37;21.37
Poznañ;Smoluchowskiego;5;14;2;0;0.0;2.0
Poznañ;Sowice29;29;34;4;0;0.0;4.0
Poznañ;Soœnicka;10;54;3;0;0.0;3.0
Poznañ;Sporna;4;100;9;6;0.46;9.46
Poznañ;Strzeszyñska;67A;37;5;0;0.0;5.0
Poznañ;Stêszewska;6;17;2;1;0.5;2.5
Poznañ;Swoboda;57;100;8;6;0.44;8.44
Poznañ;Szpitalna;27/33;77;0;0;0.0;0.0
Poznañ;S³oneczna;19;27;5;0;0.0;5.0
Poznañ;S³owackiego;58/60;125;2;9;6.13;8.13
Poznañ;S³owicza;15;212;22;3;0.82;22.82
Poznañ;Tczewska;11;140;14;9;1.95;15.95
Poznañ;Tomickiego;3;95;9;2;0.15;9.15
Poznañ;Trzemeszeñska;12;168;16;2;1.19;17.19
Poznañ;Umultowska;100A;25;5;0;0.0;5.0
Poznañ;WILCZAK15B;1;40;3;1;0.2;3.2
Poznañ;WINOGRADY;24;45;4;5;1.19;5.19
Poznañ;Wichrowe Wzgórze;130;14;2;0;0.0;2.0
Poznañ;Wierzbêcice;64;135;13;7;2.03;15.03
Poznañ;Wi¹zowa;5;122;11;4;0.59;11.59
Poznañ;Wolbromska;20;81;10;0;0.0;10.0
Poznañ;Wolsztyñska;15;68;9;3;0.89;9.89
Poznañ;Za Cytadel¹;120;150;6;0;0.0;6.0
Poznañ;Zawady;26;96;9;3;0.21;9.21
Poznañ;Z³ota;10;33;4;0;0.0;4.0
Poznañ;Z³otowska;32;13;1;1;0.8;1.8
Poznañ;os. B. Chrobrego;6/66;16;8;1;0.6;8.6
Poznañ;os. Bohaterów II Wojny Œwiat.;30;124;11;4;0.47;11.47
Poznañ;os. Boles³awa Chrobrego;104;125;9;7;2.46;11.46
Poznañ;os. Boles³awa Œmia³ego;107;200;0;0;0.0;0.0
Poznañ;os. Czecha;140;111;14;8;3.47;17.47
Poznañ;os. Jana III Sobieskiego;105;92;0;0;0.0;0.0
Poznañ;os. Jana III Sobieskiego;106;150;12;9;1.27;13.27
Poznañ;os. Jana III Sobieskiego;52;19;1;1;0.5;1.5
Poznañ;os. Kosmonautów;111;125;0;0;0.0;0.0
Poznañ;os. Lecha;14;119;22;5;2.52;24.52
Poznañ;os. Or³a BIa³ego;72;125;14;8;0.69;14.69
Poznañ;os. Or³a Bia³ego;29;125;11;2;0.18;11.18
Poznañ;os. Oœwiecenia;26;123;11;4;0.55;11.55
Poznañ;os. Piastowskie;105;116;11;7;1.77;12.77
Poznañ;os. Piastowskie;26;99;8;5;1.07;9.07
Poznañ;os. Piastowskie;55;95;8;4;0.17;8.17
Poznañ;os. PrzyjaŸni;126;117;10;3;1.0;11.0
Poznañ;os. Rusa;7;73;8;4;0.41;8.41
Poznañ;os. Rzeczypospolitej;43;96;16;4;0.88;16.88
Poznañ;os. Stare ¯egrze;1;143;0;0;0.0;0.0
Poznañ;os. Strare ¯egrze;55;24;4;0;0.0;4.0
Poznañ;os. Winiary;2;190;21;4;1.05;22.05
Poznañ;os. W³adys³awa £okietka;104;272;0;0;0.0;0.0
Poznañ;os.Boles³awa Chrobrego;121;164;18;3;0.58;18.58
Poznañ;os.Czecha;76;124;9;6;1.72;10.72
Poznañ;os.Piastowskie;42;40;5;0;0.0;5.0
Poznañ;os.Polan;1;42;5;3;0.89;5.89
Poznañ;os.Rzeczypospolitej;7;124;9;4;1.03;10.03
Poznañ;os.Wichrowe Wzgórze;118;125;12;4;0.43;12.43
Poznañ;osiedle Armii Krajowej;97;123;8;4;1.71;9.71
Poznañ;osiedle Dêbina;15;125;11;7;0.59;11.59
Poznañ;oœ. Wichrowe Wzgórze;112;125;12;3;0.29;12.29
Poznañ;ul. Œw. Antoniego;42;150;13;5;0.46;13.46
Poznañ;£agodna;4;49;3;0;0.0;3.0
Poznañ;£ozowa;77;75;0;0;0.0;0.0
Poznañ;£ubinowa;7;17;3;0;0.0;3.0
Poznañ;£ukaszewicza;35;70;6;6;0.37;6.37
Poznañ;£ukaszewicza;9/13;24;1;0;0.0;1.0
Poznañ;Œw. Kingi;1A;100;7;4;1.07;8.07
Poznañ;Œwit;16A;118;12;4;0.33;12.33
Poznañ;Œwit;40/42;130;9;0;0.0;9.0
Poznañ;œw. Czes³awa;6A;100;8;4;0.43;8.43
Poznañ;œw. Rocha;10;24;1;0;0.0;1.0
Poznañ;¯onkilowa;34;13;1;0;0.0;1.0
